VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 7:38,7/1/2021 8:14,N,4,74,265,1,14.11,58,0,0.5,0,0,,0.3,58.8,2,1,0
2,7/1/2021 7:48,7/1/2021 8:07,N,1,166,237,1,4.06,16.5,0,0.5,6.02,0,,0.3,26.07,1,1,2.75
2,7/1/2021 7:23,7/1/2021 7:28,N,1,41,152,1,0.94,6,0,0.5,0,0,,0.3,6.8,1,1,0
2,7/1/2021 7:47,7/1/2021 7:58,N,1,244,41,1,3.89,14,0,0.5,2,0,,0.3,16.8,1,1,0
1,7/1/2021 7:27,7/1/2021 7:46,N,1,42,161,1,4.8,17,2.75,0.5,0,0,,0.3,20.55,1,1,2.75
2,7/1/2021 8:00,7/1/2021 8:07,N,1,74,42,1,0.91,6,0,0.5,1.36,0,,0.3,8.16,1,1,0
2,7/1/2021 8:28,7/1/2021 8:35,N,1,74,75,1,1.17,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,7/1/2021 8:43,7/1/2021 8:56,N,1,74,159,1,2.36,11,0,0.5,0,0,,0.3,11.8,2,1,0
2,7/1/2021 8:59,7/1/2021 9:09,N,1,134,138,5,5.93,17.5,0,0.5,3,0,,0.3,21.3,1,1,0
2,7/1/2021 8:24,7/1/2021 8:53,N,1,152,140,1,4.73,20.5,0,0.5,0,0,,0.3,24.05,2,1,2.75
2,7/1/2021 8:10,7/1/2021 8:29,N,1,166,230,1,3.57,15,0,0.5,5.56,0,,0.3,24.11,1,1,2.75
